feature,factorized_values,unfactorized_value
admission_type,0,1.0
admission_type,1,0.0
admission_type,2,2.0
ethnicity,0,1.0
ethnicity,1,0.0
ethnicity,2,4.0
ethnicity,3,5.0
ethnicity,4,3.0
ethnicity,5,2.0
insurance,0,3.0
insurance,1,4.0
insurance,2,2.0
insurance,3,0.0
insurance,4,1.0
marital_status,-1,no_data
marital_status,0,-1.0
marital_status,1,1.0
marital_status,2,0.0
religion,0,0.0
religion,1,1.0
religion,2,2.0
religion,3,6.0
religion,4,7.0
religion,-1,no_data
religion,5,5.0
religion,6,3.0
religion,7,4.0
religion,8,10.0
religion,9,13.0
religion,10,8.0
religion,11,9.0
religion,12,11.0
religion,13,12.0
religion,14,14.0
