feature,factorized_values,unfactorized_value
admission_type,0,1.0
admission_type,1,0.0
admission_type,2,2.0
ethnicity,0,1.0
ethnicity,1,0.0
ethnicity,2,3.0
ethnicity,3,4.0
ethnicity,4,5.0
ethnicity,5,2.0
insurance,0,3.0
insurance,1,2.0
insurance,2,0.0
insurance,3,4.0
insurance,4,1.0
marital_status,-1,no_data
marital_status,0,-1.0
marital_status,1,1.0
marital_status,2,0.0
religion,0,0.0
religion,1,2.0
religion,2,1.0
religion,3,7.0
religion,4,10.0
religion,-1,no_data
religion,5,13.0
religion,6,8.0
religion,7,11.0
religion,8,9.0
religion,9,3.0
religion,10,6.0
religion,11,5.0
religion,12,4.0
