itemid,label,category,dbsource,valueuom
1,% Inspir. Time,,carevue,
2,ABI (L),,carevue,.
3,ABI (R),,carevue,.
4,ABI Ankle BP [Right],,carevue,mmHg
5,ABI Brachial BP [Right],,carevue,mmHg
6,ABP [Systolic],,carevue,mmHg
24,ART Lumen Volume,,carevue,
25,AV Interval,,carevue,msec
26,AaDO2,,carevue,mmHg
27,Abdominal Assessment,,carevue,
28,Abdominal Girth,,carevue,
29,Access mmHg,,carevue,
31,Activity,,carevue,
32,Activity Tolerance,,carevue,
34,Add Gas Flow (Vent),,carevue,lpm
35,Additional Gas (lpm),,carevue,lpm
36,Additional Gas(Mask),,carevue,
37,Additional Gas(Vent),,carevue,
38,Airway,,carevue,
39,Airway Size,,carevue,
40,Airway Type,,carevue,
41,Alarms Activated,,carevue,
43,Angio Appearance #1 [Attribute 1],,carevue,
44,Angio Appearance #2 [Attribute 1],,carevue,
45,Angio Dressing #1,,carevue,
46,Angio Dressing #2,,carevue,
47,Angio Site #1,,carevue,
48,Angio Site #2,,carevue,
49,Anti-Embolism [Device],,carevue,
50,Apnea Time Interval,,carevue,
51,Arterial BP [Systolic],,carevue,mmHg
52,Arterial BP Mean,,carevue,mmHg
53,Arterial Pressure,,carevue,mmHg
54,Assistance Device,,carevue,
55,Assisted Systole,,carevue,mmHg
56,Atrial Pacemaker [Sense],,carevue,
57,Atrial Pacemaker Threshold [Unit],,carevue,
58,Atrial Pacemaker [mA],,carevue,
59,Augmented Diastole,,carevue,mmHg
60,Auto-PEEP Level,,carevue,cmH2O
61,AvDO2,,carevue,ml/dl
62,BAEDP,,carevue,mmHg
63,BIPAP - BPM,,carevue,bpm
64,BIPAP - EPAP,,carevue,cmH2O
65,BIPAP - Est. Vt,,carevue,ml/B
66,BIPAP - IPAP,,carevue,cmH2O
67,BIPAP - O2 lpm,,carevue,lpm
68,BIPAP-Mode,,carevue,
69,BSA,,carevue,m2
70,BSA - English,,carevue,m2
71,BSA - Metric,,carevue,m2
72,Back Care,,carevue,
74,Base Excess,,carevue,
75,Baseline Current/mA,,carevue,mA
76,Bath,,carevue,
77,Behavior,,carevue,
78,Bladder Irrigation,,carevue,
79,Blood Flow ml/min,,carevue,cc/min
80,Bowel Sounds,,carevue,
81,Brachial Pulse [Right],,carevue,
82,Braden Activity,,carevue,
83,Braden Frict/Shear,,carevue,
84,Braden Mobility,,carevue,
85,Braden Moisture,,carevue,
86,Braden Nutrition,,carevue,
87,Braden Score,,carevue,number
88,Braden SensoryPercep,,carevue,
89,C.O. (fick),,carevue,L/min
90,C.O.(thermodilution),,carevue,L/min
91,CPM,,carevue,
92,CPP,,carevue,mmHg
93,CT #1 Crepitus,,carevue,
94,CT #1 Drainage,,carevue,
95,CT #1 Dressing,,carevue,
96,CT #1 [Fluctuate],,carevue,
97,CT #1 Suction Amount,,carevue,
98,CT #2 Crepitus,,carevue,
99,CT #2 Drainage,,carevue,
100,CT #2 Dressing,,carevue,
101,CT #2 [Fluctuate],,carevue,
102,CT #2 Suction Amount,,carevue,
103,CT #3 Crepitus,,carevue,
104,CT #3 Drainage,,carevue,
105,CT #3 Dressing,,carevue,
106,CT #3 [Fluctuate],,carevue,
107,CT #3 Suction Amount,,carevue,
108,CT #4 Crepitus,,carevue,
109,CT #4 Drainage,,carevue,
110,CT #4 Dressing,,carevue,
111,CT #4 [Fluctuate],,carevue,
112,CT #4 Suction Amount,,carevue,
113,CVP,,carevue,%
114,CaO2,,carevue,ml/dl
115,Capillary Refill [Right],,carevue,
116,Cardiac Index,,carevue,...
117,Catheter Insert Date,,carevue,
118,Cerv Collar Status,,carevue,
119,Cervical Collar Type,,carevue,
121,Chest PT [Right],,carevue,
122,Chest Tube Site #1,,carevue,
123,Chest Tube Site #2,,carevue,
124,Chest Tube Site #3,,carevue,
125,Chest Tube Site #4,,carevue,
127,Circulation/SkinInt,,carevue,
128,Code Status,,carevue,
129,Collar Care,,carevue,
130,Communication,,carevue,
131,Compliance (40-60ml),,carevue,ml/cmH
132,Compliance-Corrected,,carevue,ml/cmH
133,Cont.Nebulizer(Drug),,carevue,
134,Cooling [Device],,carevue,
135,Corneal Reflex [Right],,carevue,
136,Cough Effort,,carevue,
137,Cough Reflex,,carevue,
138,Cough Type,,carevue,
139,Cough/Deep Breathe,,carevue,
140,Cuff Leak,,carevue,
141,Cuff Pressure-Airway,,carevue,cmH2O
142,Current Goal,,carevue,
143,CvO2,,carevue,ml/dl
146,Dialysate Flow ml/hr,,carevue,ml/hr
147,Dialysate Infusing,,carevue,
148,Dialysis Access Site,,carevue,
149,Dialysis Access Type,,carevue,
150,Dialysis Machine,,carevue,
151,Dialysis Site Appear,,carevue,
152,Dialysis Type,,carevue,
153,Diastolic Unloading,,carevue,%
154,Diet Type,,carevue,
155,Doppler BP,,carevue,mmHg
156,Dorsal PedPulse [Right],,carevue,
157,ETT [Mark],,carevue,
158,ETT Position Change,,carevue,
159,Ectopy Frequency,,carevue,
160,Ectopy Frequency 2,,carevue,
161,Ectopy Type,,carevue,
162,Ectopy Type 2,,carevue,
163,Edema #1 [Location],,carevue,
164,Edema #2 [Location],,carevue,
165,Education Barrier,,carevue,
166,Education Handout,,carevue,
167,Education Learner,,carevue,
168,Education Method,,carevue,
169,Education Readiness,,carevue,
170,Education Response,,carevue,
171,Education Topic #1,,carevue,
172,Education Topic #2,,carevue,
173,Effluent Press mmHg,,carevue,mmHg
174,Emesis [Appearance],,carevue,
175,Energy Expenditure,,carevue,
176,Epi Infusion Rate,,carevue,
177,Epidural Appearance,,carevue,
178,Epidural Bolus,,carevue,
179,Epidural Location,,carevue,
180,Epidural Medication,,carevue,
181,Epidural Total Dose,,carevue,
182,Extubation Date,,carevue,
183,Eye Care,,carevue,
184,Eye Opening,,carevue,
185,FIO2 Alarm-High,,carevue,decFrc
