"itemid","label","category","dbsource","valueuom"
1,"% Inspir. Time",NULL,"carevue",NULL
2,"ABI (L)",NULL,"carevue","."
3,"ABI (R)",NULL,"carevue","."
4,"ABI Ankle BP [Right]",NULL,"carevue","mmHg"
5,"ABI Brachial BP [Right]",NULL,"carevue","mmHg"
6,"ABP [Systolic]",NULL,"carevue","mmHg"
24,"ART Lumen Volume",NULL,"carevue",NULL
25,"AV Interval",NULL,"carevue","msec"
26,"AaDO2",NULL,"carevue","mmHg"
27,"Abdominal Assessment",NULL,"carevue",NULL
28,"Abdominal Girth",NULL,"carevue",NULL
29,"Access mmHg",NULL,"carevue",NULL
31,"Activity",NULL,"carevue",NULL
32,"Activity Tolerance",NULL,"carevue",NULL
34,"Add Gas Flow (Vent)",NULL,"carevue","lpm"
35,"Additional Gas (lpm)",NULL,"carevue","lpm"
36,"Additional Gas(Mask)",NULL,"carevue",NULL
37,"Additional Gas(Vent)",NULL,"carevue",NULL
38,"Airway",NULL,"carevue",NULL
39,"Airway Size",NULL,"carevue",NULL
40,"Airway Type",NULL,"carevue",NULL
41,"Alarms Activated",NULL,"carevue",NULL
43,"Angio Appearance #1 [Attribute 1]",NULL,"carevue",NULL
44,"Angio Appearance #2 [Attribute 1]",NULL,"carevue",NULL
45,"Angio Dressing #1",NULL,"carevue",NULL
46,"Angio Dressing #2",NULL,"carevue",NULL
47,"Angio Site #1",NULL,"carevue",NULL
48,"Angio Site #2",NULL,"carevue",NULL
49,"Anti-Embolism [Device]",NULL,"carevue",NULL
50,"Apnea Time Interval",NULL,"carevue",NULL
51,"Arterial BP [Systolic]",NULL,"carevue","mmHg"
52,"Arterial BP Mean",NULL,"carevue","mmHg"
53,"Arterial Pressure",NULL,"carevue","mmHg"
54,"Assistance Device",NULL,"carevue",NULL
55,"Assisted Systole",NULL,"carevue","mmHg"
56,"Atrial Pacemaker [Sense]",NULL,"carevue",NULL
57,"Atrial Pacemaker Threshold [Unit]",NULL,"carevue",NULL
58,"Atrial Pacemaker [mA]",NULL,"carevue",NULL
59,"Augmented Diastole",NULL,"carevue","mmHg"
60,"Auto-PEEP Level",NULL,"carevue","cmH2O"
61,"AvDO2",NULL,"carevue","ml/dl"
62,"BAEDP",NULL,"carevue","mmHg"
63,"BIPAP - BPM",NULL,"carevue","bpm"
64,"BIPAP - EPAP",NULL,"carevue","cmH2O"
65,"BIPAP - Est. Vt",NULL,"carevue","ml/B"
66,"BIPAP - IPAP",NULL,"carevue","cmH2O"
67,"BIPAP - O2 lpm",NULL,"carevue","lpm"
68,"BIPAP-Mode",NULL,"carevue",NULL
69,"BSA",NULL,"carevue","m2"
70,"BSA - English",NULL,"carevue","m2"
71,"BSA - Metric",NULL,"carevue","m2"
72,"Back Care",NULL,"carevue",NULL
74,"Base Excess",NULL,"carevue",NULL
75,"Baseline Current/mA",NULL,"carevue","mA"
76,"Bath",NULL,"carevue",NULL
77,"Behavior",NULL,"carevue",NULL
78,"Bladder Irrigation",NULL,"carevue",NULL
79,"Blood Flow ml/min",NULL,"carevue","cc/min"
80,"Bowel Sounds",NULL,"carevue",NULL
81,"Brachial Pulse [Right]",NULL,"carevue",NULL
82,"Braden Activity",NULL,"carevue",NULL
83,"Braden Frict/Shear",NULL,"carevue",NULL
84,"Braden Mobility",NULL,"carevue",NULL
85,"Braden Moisture",NULL,"carevue",NULL
86,"Braden Nutrition",NULL,"carevue",NULL
87,"Braden Score",NULL,"carevue","number"
88,"Braden SensoryPercep",NULL,"carevue",NULL
89,"C.O. (fick)",NULL,"carevue","L/min"
90,"C.O.(thermodilution)",NULL,"carevue","L/min"
91,"CPM",NULL,"carevue",NULL
92,"CPP",NULL,"carevue","mmHg"
93,"CT #1 Crepitus",NULL,"carevue",NULL
94,"CT #1 Drainage",NULL,"carevue",NULL
95,"CT #1 Dressing",NULL,"carevue",NULL
96,"CT #1 [Fluctuate]",NULL,"carevue",NULL
97,"CT #1 Suction Amount",NULL,"carevue",NULL
98,"CT #2 Crepitus",NULL,"carevue",NULL
99,"CT #2 Drainage",NULL,"carevue",NULL
100,"CT #2 Dressing",NULL,"carevue",NULL
101,"CT #2 [Fluctuate]",NULL,"carevue",NULL
102,"CT #2 Suction Amount",NULL,"carevue",NULL
103,"CT #3 Crepitus",NULL,"carevue",NULL
104,"CT #3 Drainage",NULL,"carevue",NULL
105,"CT #3 Dressing",NULL,"carevue",NULL
106,"CT #3 [Fluctuate]",NULL,"carevue",NULL
107,"CT #3 Suction Amount",NULL,"carevue",NULL
108,"CT #4 Crepitus",NULL,"carevue",NULL
109,"CT #4 Drainage",NULL,"carevue",NULL
110,"CT #4 Dressing",NULL,"carevue",NULL
111,"CT #4 [Fluctuate]",NULL,"carevue",NULL
112,"CT #4 Suction Amount",NULL,"carevue",NULL
113,"CVP",NULL,"carevue","%"
114,"CaO2",NULL,"carevue","ml/dl"
115,"Capillary Refill [Right]",NULL,"carevue",NULL
116,"Cardiac Index",NULL,"carevue","..."
117,"Catheter Insert Date",NULL,"carevue",NULL
118,"Cerv Collar Status",NULL,"carevue",NULL
119,"Cervical Collar Type",NULL,"carevue",NULL
121,"Chest PT [Right]",NULL,"carevue",NULL
122,"Chest Tube Site #1",NULL,"carevue",NULL
123,"Chest Tube Site #2",NULL,"carevue",NULL
124,"Chest Tube Site #3",NULL,"carevue",NULL
125,"Chest Tube Site #4",NULL,"carevue",NULL
127,"Circulation/SkinInt",NULL,"carevue",NULL
128,"Code Status",NULL,"carevue",NULL
129,"Collar Care",NULL,"carevue",NULL
130,"Communication",NULL,"carevue",NULL
131,"Compliance (40-60ml)",NULL,"carevue","ml/cmH"
132,"Compliance-Corrected",NULL,"carevue","ml/cmH"
133,"Cont.Nebulizer(Drug)",NULL,"carevue",NULL
134,"Cooling [Device]",NULL,"carevue",NULL
135,"Corneal Reflex [Right]",NULL,"carevue",NULL
136,"Cough Effort",NULL,"carevue",NULL
137,"Cough Reflex",NULL,"carevue",NULL
138,"Cough Type",NULL,"carevue",NULL
139,"Cough/Deep Breathe",NULL,"carevue",NULL
140,"Cuff Leak",NULL,"carevue",NULL
141,"Cuff Pressure-Airway",NULL,"carevue","cmH2O"
142,"Current Goal",NULL,"carevue",NULL
143,"CvO2",NULL,"carevue","ml/dl"
146,"Dialysate Flow ml/hr",NULL,"carevue","ml/hr"
147,"Dialysate Infusing",NULL,"carevue",NULL
148,"Dialysis Access Site",NULL,"carevue",NULL
149,"Dialysis Access Type",NULL,"carevue",NULL
