icd9_code,short_title,long_title,source
0001,Ther ult head & neck ves,Therapeutic ultrasound of vessels of head and neck,procedure
0002,Ther ultrasound of heart,Therapeutic ultrasound of heart,procedure
0003,Ther ult peripheral ves,Therapeutic ultrasound of peripheral vascular vessels,procedure
0009,Other therapeutic ultsnd,Other therapeutic ultrasound,procedure
0010,Implant chemothera agent,Implantation of chemotherapeutic agent,procedure
0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,diagnose
0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,diagnose
0011,Infus drotrecogin alfa,Infusion of drotrecogin alfa (activated),procedure
0012,Adm inhal nitric oxide,Administration of inhaled nitric oxide,procedure
0013,Inject/infus nesiritide,Injection or infusion of nesiritide,procedure
0014,Injection oxazolidinone,Injection or infusion of oxazolidinone class of antibiotics,procedure
0015,High-dose infusion IL-2,High-dose infusion interleukin-2 [IL-2],procedure
0016,Pressurized treat graft,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,procedure
0017,Infusion of vasopressor,Infusion of vasopressor agent,procedure
0018,Infus immunosup antibody,Infusion of immunosuppressive antibody therapy,procedure
0019,BBBD via infusion,Disruption of blood brain barrier via infusion [BBBD],procedure
0019,Cholera NOS,"Cholera, unspecified",diagnose
0020,Typhoid fever,Typhoid fever,diagnose
0021,Paratyphoid fever a,Paratyphoid fever A,diagnose
0021,IVUS extracran cereb ves,Intravascular imaging of extracranial cerebral vessels,procedure
0022,IVUS intrathoracic ves,Intravascular imaging of intrathoracic vessels,procedure
0022,Paratyphoid fever b,Paratyphoid fever B,diagnose
0023,Paratyphoid fever c,Paratyphoid fever C,diagnose
0023,IVUS peripheral vessels,Intravascular imaging of peripheral vessels,procedure
0024,IVUS coronary vessels,Intravascular imaging of coronary vessels,procedure
0025,IVUS renal vessels,Intravascular imaging of renal vessels,procedure
0028,Intravascul imaging NEC,"Intravascular imaging, other specified vessel(s)",procedure
0029,Intravascul imaging NOS,"Intravascular imaging, unspecified vessel(s)",procedure
0029,Paratyphoid fever NOS,"Paratyphoid fever, unspecified",diagnose
0030,Salmonella enteritis,Salmonella gastroenteritis,diagnose
0031,Salmonella septicemia,Salmonella septicemia,diagnose
0031,CAS w CT/CTA,Computer assisted surgery with CT/CTA,procedure
0032,CAS w MR/MRA,Computer assisted surgery with MR/MRA,procedure
00320,Local salmonella inf NOS,"Localized salmonella infection, unspecified",diagnose
00321,Salmonella meningitis,Salmonella meningitis,diagnose
00322,Salmonella pneumonia,Salmonella pneumonia,diagnose
00323,Salmonella arthritis,Salmonella arthritis,diagnose
00324,Salmonella osteomyelitis,Salmonella osteomyelitis,diagnose
00329,Local salmonella inf NEC,Other localized salmonella infections,diagnose
0033,CAS w fluoroscopy,Computer assisted surgery with fluoroscopy,procedure
0034,Imageless comp asst surg,Imageless computer assisted surgery,procedure
0035,CAS w multiple datasets,Computer assisted surgery with multiple datasets,procedure
0038,Salmonella infection NEC,Other specified salmonella infections,diagnose
0039,Salmonella infection NOS,"Salmonella infection, unspecified",diagnose
0039,Other CAS,Other computer assisted surgery,procedure
0040,Procedure-one vessel,Procedure on single vessel,procedure
0040,Shigella dysenteriae,Shigella dysenteriae,diagnose
0041,Shigella flexneri,Shigella flexneri,diagnose
0041,Procedure-two vessels,Procedure on two vessels,procedure
0042,Procedure-three vessels,Procedure on three vessels,procedure
0042,Shigella boydii,Shigella boydii,diagnose
0043,Shigella sonnei,Shigella sonnei,diagnose
0043,Procedure-four+ vessels,Procedure on four or more vessels,procedure
0044,Proc-vessel bifurcation,Procedure on vessel bifurcation,procedure
0045,Insert 1 vascular stent,Insertion of one vascular stent,procedure
0046,Insert 2 vascular stents,Insertion of two vascular stents,procedure
0047,Insert 3 vascular stents,Insertion of three vascular stents,procedure
0048,Insert 4+ vasculr stents,Insertion of four or more vascular stents,procedure
0048,Shigella infection NEC,Other specified shigella infections,diagnose
0049,Shigellosis NOS,"Shigellosis, unspecified",diagnose
0049,SuperSat O2 therapy,Supersaturated oxygen therapy,procedure
0050,Impl CRT pacemaker sys,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",procedure
0050,Staph food poisoning,Staphylococcal food poisoning,diagnose
0051,Botulism food poisoning,Botulism food poisoning,diagnose
0051,Impl CRT defibrillat sys,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",procedure
0052,Imp/rep lead lf ven sys,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,procedure
0052,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii),diagnose
0053,Food pois: clostrid NEC,Food poisoning due to other Clostridia,diagnose
0053,Imp/rep CRT pacemakr gen,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],procedure
0054,Imp/rep CRT defib genat,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],procedure
0054,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus,diagnose
0055,Ins d-e stent oth periph,Insertion of drug-eluting stent(s) of other peripheral vessel(s),procedure
0056,Ins/rep sens-crd/vsl mtr,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,procedure
0057,Imp/rep subcue card dev,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,procedure
0058,Ins intra-ansm pres mntr,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),procedure
00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,diagnose
00589,Bact food poisoning NEC,Other bacterial food poisoning,diagnose
0059,Food poisoning NOS,"Food poisoning, unspecified",diagnose
0059,Intravasc msmnt cor art,Intravascular pressure measurement of coronary arteries,procedure
0060,Ins d-e stnt sup fem art,Insertion of drug-eluting stent(s) of superficial femoral artery,procedure
0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess,diagnose
0061,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess,diagnose
0061,Perc angio extracran ves,Percutaneous angioplasty of extracranial vessel(s),procedure
0062,Perc angio intracran ves,Percutaneous angioplasty of intracranial vessel(s),procedure
0062,Amebic nondysent colitis,Amebic nondysenteric colitis,diagnose
0063,Amebic liver abscess,Amebic liver abscess,diagnose
0063,Perc ins carotid stent,Percutaneous insertion of carotid artery stent(s),procedure
0064,Perc ins extracran stent,Percutaneous insertion of other extracranial artery stent(s),procedure
0064,Amebic lung abscess,Amebic lung abscess,diagnose
0065,Amebic brain abscess,Amebic brain abscess,diagnose
0065,Perc ins intracran stent,Percutaneous insertion of intracranial vascular stent(s),procedure
0066,PTCA,Percutaneous transluminal coronary angioplasty [PTCA],procedure
0066,Amebic skin ulceration,Amebic skin ulceration,diagnose
0067,Intravas msmnt thorc art,Intravascular pressure measurement of intrathoracic arteries,procedure
0068,Intravas msmt periph art,Intravascular pressure measurement of peripheral arteries,procedure
0068,Amebic infection NEC,Amebic infection of other sites,diagnose
0069,Amebiasis NOS,"Amebiasis, unspecified",diagnose
0069,Intravs msmt ves NEC/NOS,"Intravascular pressure measurement, other specified and unspecified vessels",procedure
0070,Rev hip repl-acetab/fem,"Revision of hip replacement, both acetabular and femoral components",procedure
0070,Balantidiasis,Balantidiasis,diagnose
0071,Giardiasis,Giardiasis,diagnose
0071,Rev hip repl-acetab comp,"Revision of hip replacement, acetabular component",procedure
0072,Rev hip repl-fem comp,"Revision of hip replacement, femoral component",procedure
0072,Coccidiosis,Coccidiosis,diagnose
0073,Intest trichomoniasis,Intestinal trichomoniasis,diagnose
0073,Rev hip repl-liner/head,"Revision of hip replacement, acetabular liner and/or femoral head only",procedure
0074,"Hip surface, metal/poly","Hip bearing surface, metal-on-polyethylene",procedure
0074,Cryptosporidiosis,Cryptosporidiosis,diagnose
0075,Cyclosporiasis,Cyclosporiasis,diagnose
0075,"Hip surface, metal/metal","Hip bearing surface, metal-on-metal",procedure
0076,"Hip surface, cermc/cermc","Hip bearing surface, ceramic-on-ceramic",procedure
0077,"Hip surface, cermc/poly","Hip bearing surface, ceramic-on-polyethylene",procedure
0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,diagnose
0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,diagnose
0080,Rev knee replacemt-total,"Revision of knee replacement, total (all components)",procedure
00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",diagnose
00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,diagnose
00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,diagnose
00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,diagnose
00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,diagnose
00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,diagnose
0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,diagnose
0081,Rev knee repl-tibia comp,"Revision of knee replacement, tibial component",procedure
0082,Rev knee repl-femur comp,"Revision of knee replacement, femoral component",procedure
0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,diagnose
0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),diagnose
0083,Rev knee replace-patella,"Revision of knee replacement, patellar component",procedure
0084,Rev knee repl-tibia lin,"Revision of total knee replacement, tibial insert (liner)",procedure
00841,Staphylococc enteritis,Intestinal infection due to staphylococcus,diagnose
00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,diagnose
00843,Int infec campylobacter,Intestinal infection due to campylobacter,diagnose
00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,diagnose
00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,diagnose
00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,diagnose
00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,diagnose
00849,Bacterial enteritis NEC,Intestinal infection due to other organisms,diagnose
0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",diagnose
0085,"Resrf hip,total-acet/fem","Resurfacing hip, total, acetabulum and femoral head",procedure
0086,"Resrf hip,part-fem head","Resurfacing hip, partial, femoral head",procedure
00861,Intes infec rotavirus,Enteritis due to rotavirus,diagnose
00862,Intes infec adenovirus,Enteritis due to adenovirus,diagnose
00863,Int inf norwalk virus,Enteritis due to norwalk virus,diagnose
00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],diagnose
00865,Enteritis d/t calicivirs,Enteritis due to calicivirus,diagnose
00866,Intes infec astrovirus,Enteritis due to astrovirus,diagnose
00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,diagnose
00869,Other viral intes infec,Enteritis due to other viral enteritis,diagnose
0087,"Resrf hip,part-acetablum","Resurfacing hip, partial, acetabulum",procedure
0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",diagnose
0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",diagnose
0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",diagnose
0091,Trnsplnt live rel donor,Transplant from live related donor,procedure
0092,Trnsplnt live nonrel don,Transplant from live non-related donor,procedure
0092,Infectious diarrhea NOS,Infectious diarrhea,diagnose
0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,diagnose
0093,Transplant cadaver donor,Transplant from cadaver,procedure
0094,Intra-op neurophys montr,Intra-operative neurophysiologic monitoring,procedure
0095,Injct/infus glucarpidase,Injection or infusion of glucarpidase,procedure
0096,Infusion 4F-PCC,Infusion of 4-Factor Prothrombin Complex Concentrate,procedure
01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",diagnose
01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",diagnose
01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",diagnose
01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",diagnose
01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0101,Cisternal puncture,Cisternal puncture,procedure
01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",diagnose
01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",diagnose
01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",diagnose
01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",diagnose
01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0102,Ventricl shunt tube punc,Ventriculopuncture through previously implanted catheter,procedure
01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",diagnose
01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",diagnose
01082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",diagnose
01083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",diagnose
01084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0109,Cranial puncture NEC,Other cranial puncture,procedure
01090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified",diagnose
01091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",diagnose
01092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",diagnose
01093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",diagnose
01094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0110,Intracran pressure montr,Intracranial pressure monitoring,procedure
01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified",diagnose
01101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",diagnose
01102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",diagnose
01103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",diagnose
01104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0111,Clos cereb meninges bx,Closed [percutaneous] [needle] biopsy of cerebral meninges,procedure
01110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified",diagnose
01111,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",diagnose
01112,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",diagnose
01113,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",diagnose
01114,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0112,Open cereb meninges bx,Open biopsy of cerebral meninges,procedure
01120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified",diagnose
01121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",diagnose
